variable,raw_mean,win_mean,raw_std,win_std,raw_min,win_min,raw_max,win_max
Lev,0.5006,0.4523,3.608,0.2611,-0.1947,0.0279,877.2559,3.9719
SL,0.0247,0.0221,0.1082,0.0356,-0.0001,0.0,16.2125,0.2791
LL,0.0979,0.0858,0.5791,0.107,-0.0933,-0.0191,76.9579,1.0434
SDR,0.0432,0.0421,0.0671,0.0609,-0.0002,0.0,0.8039,0.3858
Cash,0.1856,0.1848,0.1422,0.139,0.0,0.0005,1.0,0.8524
ROA,0.3324,0.0293,88.1583,0.0847,-2146.1613,-1.0173,23509.7686,0.4132
ROE,0.079,0.0438,6.5231,0.2313,-207.3971,-2.7131,943.6241,1.8415
SLoan,0.1305,0.1159,1.867,0.1207,0.0,0.0,460.1923,1.2798
LLoan,0.0623,0.0613,0.0929,0.0842,0.0,0.0,6.317,0.4674
HHI5,,,,,,,,
